AFZ,SABZEVAR,SABZEVAR,SABZEVAR/IR,AFZ,Y,NULL,IR,MEAST,ITC2,IR120,57.67,36.21,NULL,N
AGA,AGADIR ALMASSIRA,AGADIR ALMASSIR,AGADIR/MA:AGADIR ALMASSIRA,AGA,Y,NULL,MA,AFRIC,ITC2,MA,-9.55,30.38,NULL,N
AGB,MUNICH AUGSBURG,MUNICH AUGSBURG,MUNICH/DE:AUGSBURG MUEHLHAUSEN,MUC,Y,NULL,DE,EUROP,ITC2,DE040,10.9,48.38,NULL,N
AGC,PITTSBURGH,PITTSBURGH,PITTSBURGH/PA/US:ALLEGHENY COU,PIT,Y,PA,US,NAMER,ITC1,US105,-79.93,40.35,NULL,N
AGD,ANGGI,ANGGI,ANGGI/ID,AGD,Y,NULL,ID,SEASI,ITC3,ID063,133.9,-1.383,NULL,N
AGE,WANGEROOGE,WANGEROOGE,WANGEROOGE/DE:FLUGPLATZ,AGE,Y,NULL,DE,EUROP,ITC2,DE040,7.917,53.78,76,N
AGF,AGEN,AGEN,AGEN/FR:LA GARENNE,AGF,Y,NULL,FR,EUROP,ITC2,FR052,0.6,44.18,77,N
AGG,ANGORAM,ANGORAM,ANGORAM/PG,AGG,Y,NULL,PG,AUSTL,ITC3,PG,144.1,-4.067,78,N
AGH,ANGELHOLM,ANGELHOLM,ANGELHOLM/SE:ANGELHOLM AIRPORT,AGH,Y,NULL,SE,EUROP,ITC2,SE095,12.85,56.3,NULL,N
AGI,WAGENINGEN,WAGENINGEN,WAGENINGEN/SR,AGI,Y,NULL,SR,SAMER,ITC1,SR,-56.68,5.767,NULL,N
AGJ,AGUNI,AGUNI,AGUNI/JP,AGJ,Y,NULL,JP,ASIA,ITC3,JP,127.2,26.83,80,N
AGK,KAGUA,KAGUA,KAGUA/PG,AGK,Y,NULL,PG,AUSTL,ITC3,PG,143.8,-6.333,81,N
AGL,WANIGELA,WANIGELA,WANIGELA/PG,AGL,Y,NULL,PG,AUSTL,ITC3,PG,149.2,-9.333,82,N
AGM,TASIILAQ,TASIILAQ,TASIILAQ/GL,AGM,Y,NULL,GL,EUROP,ITC1,GL055,-38,65.58,NULL,N
AGN,ANGOON,ANGOON,ANGOON/AK/US,AGN,Y,AK,US,NAMER,ITC1,US111,-134.6,57.5,84,N
AGO,MAGNOLIA,MAGNOLIA,MAGNOLIA/AR/US:MUNICIPAL,AGO,Y,AR,US,NAMER,ITC1,US107,-93.22,33.23,85,N
AGP,MALAGA,MALAGA,MALAGA/ES,AGP,Y,NULL,ES,EUROP,ITC2,ES045,-4.5,36.67,86,N
AGQ,AGRINION,AGRINION,AGRINION/GR,AGQ,Y,NULL,GR,EUROP,ITC2,GR058,21.38,38.6,87,N
AGR,AGRA,AGRA,AGRA/IN:KHERIA,AGR,Y,NULL,IN,ASIA,ITC3,IN,77.97,27.15,88,N
AGS,AUGUSTA BUSH FLD,AUGUSTA BUSH FL,AUGUSTA/GA/US:BUSH FIELD,AGS,Y,GA,US,NAMER,ITC1,US105,-81.97,33.37,NULL,N
AGT,CIUDAD DEL ESTE,CIUDAD DEL ESTE,CIUDAD DEL ESTE/PY:ALEJO GARCI,AGT,Y,NULL,PY,SAMER,ITC1,PY093,-54.52,-25.52,NULL,N
AGU,AGUASCALIENTES,AGUASCALIENTES,AGUASCALIENTES/MX,AGU,Y,NULL,MX,NAMER,ITC1,MX168,-102.3,21.87,91,N
AGV,ACARIGUA,ACARIGUA,ACARIGUA/VE,AGV,Y,NULL,VE,SAMER,ITC1,VE,-69.23,9.55,92,N
AGW,AGNEW,AGNEW,AGNEW/QL/AU,AGW,Y,QL,AU,AUSTL,ITC3,AU131,142.2,-12.15,93,N
AGX,AGATTI ISLAND,AGATTI ISLAND,AGATTI ISLAND/IN,AGX,Y,NULL,IN,ASIA,ITC3,IN,72.2,10.83,NULL,N
AGY,ARGYLE DOWNS,ARGYLE DOWNS,ARGYLE DOWNS/WA/AU,AGY,Y,WA,AU,AUSTL,ITC3,AU011,128.8,-16.35,95,N
AGZ,AGGENEYS,AGGENEYS,AGGENEYS/ZA,AGZ,Y,NULL,ZA,AFRIC,ITC2,ZA,18.85,-29.05,96,N
AHA,OKINAWA,OKINAWA,OKINAWA/JP:NAHA AFB,OKA,Y,NULL,JP,ASIA,ITC3,JP,127.7,26.2,NULL,N
AHB,ABHA,ABHA,ABHA/SA,AHB,Y,NULL,SA,MEAST,ITC2,SA,42.5,18.22,97,N
AHC,HERLONG,HERLONG,HERLONG/CA/US:AMEDEE AAF,AHC,Y,CA,US,NAMER,ITC1,US110,-120.2,40.27,NULL,N
AHD,ARDMORE DOWNTOWN,ARDMORE DOWNTOW,ARDMORE/OK/US:DOWNTOWN,ADM,Y,OK,US,NAMER,ITC1,US107,-97.15,34.15,98,N
AHE,AHE,AHE,AHE/PF,AHE,Y,NULL,PF,PACIF,ITC3,PF087,-146.3,-14.43,0,N
