#CODE_LIGNE^NOM^NATURE^LATITUDE (WGS84)^LONGITUDE (WGS84)
205000^Haybes^Desserte Voyageur^50.01174^4.70396
70000^Schwindratzheim^Desserte Voyageur^48.75358^7.60065
42000^Einvaux^Desserte Voyageur-Infrastructure^48.5034^6.39312
70000^Brumath^Desserte Fret-Desserte Voyageur-Infrastructure^48.7329^7.70008
295000^Nieppe^Desserte Voyageur^50.6966^2.82913
289000^Lille-Bifurcation-de-la-Justice^Non exploitée^50.61122^3.08238
232000^Ménévillers^Non exploitée^49.52583^2.60625
232000^Montdidier^Desserte Fret-Desserte Voyageur-Infrastructure^49.64135^2.56185
289000^Salomé^Desserte Voyageur^50.54163^2.83696
123000^Blodelsheim^Desserte Fret-Infrastructure^47.88662^7.52345
140000^Landroff^Infrastructure^48.95429^6.61309
120000^Sundhoffen^Infrastructure^48.04654^7.4215
159000^Reichshoffen-Ville^Desserte Fret-Desserte Voyageur-Infrastructure^48.93069^7.65796
70000^Nouvel-Avricourt^Non exploitée^48.6508^6.82127
258000^Azincourt-Garage^Infrastructure^50.31963^3.21922
261000^Chaulnes^Desserte Fret-Desserte Voyageur-Infrastructure^49.80739^2.80136
72000^Mareuil-sur-Ourcq^Desserte Voyageur^49.13545^3.0753
111000^Scherwiller^Desserte Voyageur^48.28657^7.43053
111000^Epfig^Desserte Voyageur^48.36354^7.44979
314000^Boulogne-Tintelleries^Desserte Voyageur^50.72712^1.60964
70000^Hausbergen^Infrastructure^48.6229^7.72414
95000^Gondrecourt-Aix^Non exploitée^49.24217^5.76115
232000^Braches^Non exploitée^49.73504^2.5075
124000^Île-Napoléon-Garage^Desserte Fret-Infrastructure^47.78371^7.43298
95000^Conflans-Jarny^Desserte Fret-Desserte Voyageur-Infrastructure^49.16669^5.86692
334000^Mantes-Station^Desserte Voyageur^48.98373^1.71577
70000^Sarrebourg^Desserte Fret-Desserte Voyageur-Infrastructure^48.73846^7.05193
259000^Montdidier^Desserte Fret-Desserte Voyageur-Infrastructure^49.6416^2.5636
