#office_id	name
PSSG128AB	CARLOTA STOCKAR
MANWL2100	CARLSON WAGONLIT
MADWL2151	CARLSON WAGONLIT
BLERA2163	CARLSON WAGONLIT
CPHWT28AE	CARLSON WAGONLIT
EBUWL288E	CARLSON WAGONLIT
PARWL288A	CARLSON WAGONLIT
PARWL288B	CARLSON WAGONLIT
STORA28AC	CARLSON WAGONLIT
CPHWT28AA	CARLSON WAGONLIT
MELA828CB	CARLSON WAGONLIT
MLHWL28AA	CARLSON WAGONLIT
PARWL28BB	CARLSON WAGONLIT
PUFWL28AA	CARLSON WAGONLIT
STLSU28AA	CARLSON WAGONLIT
STORA2188	CARLSON WAGONLIT
STRWL28AZ	CARLSON WAGONLIT
VIEWL28BX	CARLSON WAGONLIT
ZRHWL28AF	CARLSON WAGONLIT
MIACN219A	CARNIVAL AERGO
MIACN219L	CARNIVAL CRUISE LINES
MIACN219R	CARNIVAL CRUISE LINES
MIACN219T	CARNIVAL CRUISE LINES
TCII12539	CARPE DIEM
GDLMX28AG	CASA DE INCENTIVOS Y GRUPOS
NOCIE3100	CASTLE TRAVEL
FORB228AK	CATAVENTO VIAGENS E TURISMO LTDA
MTY1S28AB	CEMEX
BCNCV2821	CENTRAL DE VIAJES
SINGP28AF	CENTRAL RESERVATIONS OFFICE SINGAPORE
MSP1S214C	CENTRAV INC
FUEI12851	CENTRO VIAJES
WAWPQ28BZ	CENTRUM LOTOW DISCOVERY
WAWPQ28AX	CENTRUM PODROZY AIR CLUB
BUEG128AW	CETAN VIAJES
HELA228CE	CEYLON KESKUS
PARMM211F	C F A Voyages
SINGP28AG	CHAN BROTHERS TRAVEL PTE LTD
AARS128CP	CHECK POINT TRAVEL - API
BUDHU2674	CHEMOL CORPORATE UTAZASI IRODA
ALCI12600	CHEVERE INTERNACIONAL
MADI12181	CHINAMAR
SCQI12810	CIESTOUR
TRNIG28BL	CISALPINA-BLUVACANZE
TRNIG28BQ	CISALPINA-BLUVACANZE
STRLB2129	CITY AIR TERMINAL REISEBUERO GMBH
HELA228HA	CITYMATKAT GLOBAL
SINGP28AN	CITYSTATE TRAVEL PTE LTD
MADI138BL	CIUDADANIA TRAVELS SL
BTSCK27A9	CK MALKO POLO
BTSCK2790	CK RUEFA SK   API
BTSCK27Z0	CKM 2000 TRAVEL API
LIMPE28BD	CLAN TOURS
GUA1S38AA	CLARK TOURS LAS MARGARITAS
RTMUG28AE	CLARO TRAVEL
RIC1S38AA	CLASSIC TRAVEL & TOURS
BUEG128BK	CLIPPER
LIMPE28BC	CLUB DE VACACIONES
CPTZA28CL	CLUB TRAVEL
DUBU128AD	CLUB TRAVEL
DUBU1210B	CLUB TRAVEL
SFO1S38AA	COASTYLE TRAVEL
VIEC328BV	COLUMBUS
TLLEE28AC	COLUMBUS
MDT1S210T	COMMONWEALTH OF PENNSYLVANIA
PRGCK2779	CONDOR
AMSN22101	CONSOLIDAIR BV
AMSUG28AI	CONSULT TRAVEL
MADI12847	CONTITOUR
BOS1S38CZ	CORAL TRAVEL
BUEG128B5	CORDIMAR
SAN1S2106	ACO US
SAN1S214F	ACO US
OMA1S38AB	CORPORATE & LEISURE TRAVEL
KULMY28A3	CORPORATE INFORMATION TRAVEL SDN BHD
SINFF28AJ	CORPORATE TRAVEL
BUEG128AT	COSTANTINO VIAJES (CASA CENTRAL)
SNAAG312W	COTTONWOOD CUSTOM TRAVEL
MIA1S38AH	CP TRAVEL
PRAG128AA	CREDIGAL INTERNACIONAL
MADMR2004	CRISOL
BTSCK27B8	CRUISER
BOS1S38CX	CRYSTAL TRAVEL
NYC1S21GX	CTA
LIM6C2128	CTC
PVU1S38AA	CTI TRAVEL INC.
FLL1S2149	CTM
FLL6C2112	CTM
EWR6C210L	CTM
FLL6C2102	CTM
NYC6C210A	CTM
FLL6C210N	CTM
FLL6C2129	CTM
LAX6C2101	CTM
CGNS021BY	CUSTOMER
PBIPI2APO	CUSTOMER-APPLICATION API SOURCE OFID
BRUWL28IE	CWL INTERNET
BRUWL2899	CWT BELGIUM SPRL - ONLINE BE
AOH1S2101	CWT MILLSTREAM TRAVEL
ENSWL28AB	CWT THALES
LONWL2102	CWT/ORACLE
BUEG128AR	CYNSA TOUR OPERATOR
CCSV128BH	D ACCORD TOURS
NYC1S2190	DANNY TRAVEL INC
SJU1S212U	DARLINGTON TRAVEL
LISP22328	DAVIA TRAVEL
OSLS128DR	DAVID REISEBYRAA
MOWR2213N	DAVS
PRGCK2793	DCS PRAHA SRO API
ROC1S38AB	DE PREZ TRAVEL BUREAU
ROC1S38AA	DE PREZ TRAVEL BUREAU
LWRN228AA	DE VRIES REIZEN (BOOKEXPRESS)
BUEG128AU	DELFINO TURISMO
CORG128AC	DELFOS OPERADOR MAYORISTA (CASA CENTRAL)
RTMUG28AC	DELTA TRAVEL
FRADR21Y1	DER DEUTSCHES REISEBUERO GMBH
FRADR28AT	DER DEUTSCHES REISEBUERO GMBH
CGNDR211P	DER DEUTSCHES REISEBUERO GMBH & CO.
UWPD128AC	DERPART REISEBUERO WUPPERTAL
FRAD1215F	DERPART REISEVERTRIEBS GMBH
MUCD121FC	DERPART TRAVEL SERVICE
FRADR21RF	DERTOUR GMBH & CO. KG
FRADR28BM	DERTOUR GMBH & CO. KG
FRADR21CS	DERTOUR GMBH & CO. KG
FRADR28AL	DERTOUR GMBH & CO.KG
ASUY228AC	DESARROLLO TURISTICO PARAGUAYO
IZMLL28AD	DOKTOROGLU TURIZM - INTERNET
CCSV128AE	DOMINGO TOURS
CPHWE28AJ	DONG ENERGY A/S - AERGO
MARV128AH	DREAM SCAPE VACATIONS
DRSLB28AG	DRESDNER REISEZENTRUM GMBH
ZRHHL28AB	DSM COMPOSITE RESINS
MIA1S21UT	E TRAVEL-WALTHAM
VNOLJ2806	EASY TRAVEL-INTERNET
SINGP28AL	EBIZTRAVELS.COM PTE LTD
AMSEB38EB	EBOOKERS
AMSEB38BB	EBOOKERS
BNJEB38AQ	EBOOKERS
BNJEB38BB	EBOOKERS
BRUEB38AA	EBOOKERS
BRUEB38BB	EBOOKERS
CPHEB38AH	EBOOKERS
CPHEB38BB	EBOOKERS
DUBEB38AA	EBOOKERS
GVAEB38AA	EBOOKERS
GVAEB38BB	EBOOKERS
HELEB38AA	EBOOKERS
HELEB38BB	EBOOKERS
LONEB3101	EBOOKERS
LONEB3105	EBOOKERS
LONEB3106	EBOOKERS
MILEB38AA	EBOOKERS
OSLEB38AA	EBOOKERS
OSLEB38BB	EBOOKERS
PAREB38AA	EBOOKERS
PAREB38BB	EBOOKERS
STOEB38AA	EBOOKERS
STOEB38BB	EBOOKERS
STOEB38AB	EBOOKERS
LNZEB38AA	EBOOKERS
LNZEB38BB	EBOOKERS
MADEB38AA	EBOOKERS
MADEB38BB	EBOOKERS
GVAEB38AB	EBOOKERS
PAREB38AD	EBOOKERS
BNJEB38BD	EBOOKERS
STOEB38AD	EBOOKERS
HELEB38AE	EBOOKERS
CPHEB38A	 EBOOKERS
OSLEB38AD	EBOOKERS
PAREB31EB	EBOOKERS
PAREB3200	EBOOKERS
PAREB32EB	EBOOKERS
PAREB3300	EBOOKERS
PAREB37EB	EBOOKERS
PAREB38CC	EBOOKERS
PAREB38DP	EBOOKERS
PAREB38NP	EBOOKERS
POZPQ28AC	ECCO HOLIDAY SP.Z O.O.
SRZXB28BA	ECO SAFARI
ALCI12702	ECONO VIAJES
SBN7E38AA	EDGERTON'S TRAVEL SERVICE
BCNED38AA	EDREAMS
BCNED38TO	EDREAMS
MILED38TO	EDREAMS
MILED38EP	EDREAMS
PARED38AA	EDREAMS
LONED38AA	EDREAMS
ORYPI2API	EGENCIA (KDS) SOURCE OFFICE
